S. No.,Method,Acc,Instrument,Qty,Buy Price,Sell Price,Stop Loss,Buy Date,Sell Date
1,GEM,UT0149,TITANBIO,135,149.96,402.2,0,01-01-21,29-06-21
2,GEM,RA1144,IDFCFIRSTB,"1,169",55.9,49.3,,01-01-21,05-09-22
3,MISC,UT0149,TRANSPEK,24,"1,573.74","1,649.20",,01-01-21,28-06-21
4,MISC,UT0149,BECTORFOOD,119,418.84,416.2,,01-02-21,10-11-22
5,MISC,UT0149,BHARTIARTL,35,586.49,599.9,,01-02-21,05-08-21
6,MISC,RA1144,GLOBUSSPR,90,358.36,508.2,,22-02-21,22-06-21
7,MISC,UT0149,VALIANTORG,39,"1,588.99",486.7,,05-04-21,10-01-24
8,GEM,UT0149,IOLCP,80,620.7,452.5,,05-04-21,05-06-23
9,3*3,UT0149,ASIANTILES,"2,376",0,7.25,,05-04-21,26-04-22
10,GEM,UT0149,MUTHOOTFIN,40,"1,259.45","1,488.20",,05-04-21,29-06-21
11,GEM,UT0149,PIXTRANS,37,365.2,642.2,,05-04-21,29-06-21
12,3*3,RA1144,ASIANTILES,"4,298",0,7.25,,05-04-21,26-04-22
13,GEM,RA1144,AXTEL,336,298.06,345.7,,05-04-21,29-06-21
14,MISC,UT0149,DIAMINESQ,160,318.2,348.7,,05-04-21,27-07-22
15,GEM,RA1144,BAJAJST,195,517.01,790.2,,05-04-21,29-06-21
16,MISC,RA1144,BECTORFOOD,15,342.2,403.2,,05-04-21,01-07-21
17,GEM,RA1144,DIAMINESQ,243,280.17,276.07,,05-04-21,29-06-21
18,MISC,UT0149,ESCORTS,64,"1,249.78","1,511.48",,05-04-21,23-09-21
19,GEM,UT0149,EVERESTO,175,238.9,339.68,,05-04-21,28-06-21
20,GEM,UT0149,FRONTSP,140,291,297.2,,05-04-21,12-07-21
21,GEM,UT0149,GUJTHEM,60,221.97,325.2,,05-04-21,28-06-21
22,MISC,RA1144,ESCORTS,64,"1,182.64","1,440.20",,05-04-21,14-09-21
23,GEM,RA1144,EVERESTO,202,316.51,342.32,,05-04-21,29-06-21
24,GEM,RA1144,FRONTSP,222,268.21,277.2,,05-04-21,29-06-21
25,GEM,RA1144,GARFIBRES,38,"2,682.63","3,400.20",,05-04-21,29-06-21
26,GEM,RA1144,GOLDIAM,272,367.93,459.9,,05-04-21,29-06-21
27,GEM,RA1144,GUJTHEM,381,229.38,308.2,,05-04-21,29-06-21
28,GEM,RA1144,IOLCP,157,641.12,467.1,,05-04-21,10-01-24
29,GEM,RA1144,KANCHI,112,894.57,419.28,,05-04-21,05-06-23
30,GEM,RA1144,MANORG,196,632.89,775.7,,05-04-21,29-06-21
31,GEM,UT0149,MANORG,28,529.2,778.2,,05-04-21,28-06-21
32,GEM,RA1144,MUTHOOTFIN,86,"1,169.60","1,487.20",,05-04-21,29-06-21
33,GEM,RA1144,PIXTRANS,216,402.81,623.2,,05-04-21,29-06-21
34,GEM,RA1144,POLYCAB,67,"1,514.26","1,975.20",,05-04-21,29-06-21
35,GEM,RA1144,RESONANCE,366,137.05,144.8,,05-04-21,29-06-21
36,GEM,RA1144,SAKSOFT,196,483.94,534.2,,05-04-21,29-06-21
37,GEM,RA1144,SHRJAGP,111,607.15,809.36,,05-04-21,29-06-21
38,GEM,UT0149,RESONANCE,365,136.9,147.6,,05-04-21,28-06-21
39,GEM,UT0149,SAKSOFT,31,470.94,537.2,,05-04-21,28-06-21
40,GEM,UT0149,SHRJAGP,65,524.74,809.2,,05-04-21,28-06-21
41,GEM,RA1144,TITANBIO,378,211.06,402.2,,05-04-21,29-06-21
42,MISC,RA1144,VALIANTORG,26,"1,500.16","1,824.40",,05-04-21,10-01-24
43,GEM,RA1144,VALIANTORG,6,"1,465.86",486.7,,05-04-21,01-07-21
44,3*3,RA1144,BANKINDIA,442,79.94,62.6,,01-06-21,03-11-22
45,MISC,UT0149,NUCLEUS,43,593.91,603.2,,19-06-21,29-06-21
46,MISC,UT0149,TRITURBINE,80,121.2,121.2,,19-06-21,29-06-21
47,3*3,UT0149,PNB,607,41.89,53.3,,21-06-21,22-12-22
48,MISC,UT0149,5PAISA,23,433.2,507.2,,21-06-21,16-07-21
49,MISC,UT0149,HATHWAY,930,26.95,27.9,,21-06-21,12-07-21
50,MISC,UT0149,J&KBANK,185,41.2,43.2,,21-06-21,13-01-22
51,MISC,UT0149,SIS,351,429.84,473.2,,21-06-21,08-07-21
52,MISC,UT0149,UNIONBANK,693,36.56,37.1,,21-06-21,12-07-21
53,MISC,UT0149,M&MFIN,624,161.37,182.4,,28-06-21,02-05-22
54,3*3,RA1144,ASIANTILES,55,183.52,186.1,,28-06-21,02-07-21
55,MISC,RA1144,BANKBARODA,"1,743",86.02,96.55,,28-06-21,22-10-21
56,MISC,RA1144,GRANULES,451,333.71,382.9,,28-06-21,16-07-21
57,MISC,RA1144,INDIAMART,42,"3,612.77","3,277.70",,28-06-21,07-09-23
58,MISC,RA1144,MAHSCOOTER,39,"3,799.87","4,410.00",,28-06-21,13-08-21
59,3*3,RA1144,UJJIVANSFB,"4,488",24.84,26.3,,28-06-21,03-11-22
60,3*3,RA1144,VAIBHAVGBL,185,814.59,"1,040.00",,28-06-21,
61,MISC,RA1144,AARTIDRUGS,211,707.31,478.2,,01-07-21,06-03-24
62,3*3,UT0149,ASIANTILES,807,186.21,44.04,,01-07-21,06-05-25
63,3*3,UT0149,SYMPHONY,145,"1,037.09","1,118.20",,01-07-21,24-02-23
64,MISC,RA1144,ATULAUTO,128,199.54,211.2,,01-07-21,29-07-21
65,MISC,RA1144,FDC,425,352.47,297.05,,01-07-21,05-06-23
66,MISC,RA1144,GULFOILLUB,217,690.19,679.7,,01-07-21,18-12-23
67,MISC,RA1144,WHIRLPOOL,67,"2,240.44","1,235.77",,01-07-21,06-03-24
68,MISC,RA1144,M&MFIN,479,156.4,182.4,,02-07-21,02-05-22
69,MISC,RA1144,M&MFIN,478,157.2,185,,02-07-21,30-09-21
70,MISC,RA1144,IDFC,"2,350",53.2,53.4,,03-07-21,07-07-21
71,MISC,RA1144,BAJAJCON,520,288.7,227.05,,05-07-21,10-01-24
72,MISC,RA1144,GEPIL,140,356.2,156.1,,05-07-21,05-06-23
73,3*3,RA1144,HDFCAMC,52,"2,872.20","3,165.60",,05-07-21,20-12-23
74,MISC,RA1144,SUNTV,100,527.2,569.55,,05-07-21,30-07-21
75,MISC,RA1144,RAJESHEXPO,254,590.2,"1,000.00",,07-07-21,28-07-21
76,MISC,RA1144,COFFEEDAY,"2,307",46.74,43.2,,08-07-21,28-07-21
77,MISC,UT0149,RBLBANK,412,217.6,229.1,,12-07-21,25-08-23
78,3*3,RA1144,ASIANTILES,457,185.5,621,,14-07-21,
